condition_name,split_name,optimizer_name,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
A5_only,iid,fedprox,0.8239099859353024,0.000815869713679529,0.016257726386048943
A5_only,dirichlet_0_5,sgd,0.7710267229254572,0.0940417807739185,0.10541522714987428
A5_only,dirichlet_0_5,adamw,0.8621659634317862,0.009452065335533666,0.05766880537732966
A5_only,dirichlet_0_5,fedprox,0.6905766526019691,0.05582850452970867,0.11395097417095579
A5_only,strict_non_iid,sgd,0.5175808720112518,0.0,0.0
A5_only,strict_non_iid,adamw,0.48241912798874825,0.0,0.0
A5_only,strict_non_iid,fedprox,0.5175808720112518,0.0,0.0
A1_D1,iid,sgd,0.45457102672292543,0.06384807441006612,0.0801179228654022
A1_D1,iid,adamw,0.9291139240506329,0.02049121196673037,0.046194479337778205
A1_D1,iid,fedprox,0.45260196905766525,0.06443618765209524,0.0837784084232297
A1_D1,dirichlet_0_5,sgd,0.45935302390998595,0.06476494020619694,0.08150749723847794
A1_D1,dirichlet_0_5,adamw,0.6736990154711674,0.0021092379124178495,0.006940527391948059
A1_D1,dirichlet_0_5,fedprox,0.4489451476793249,0.0649342975825522,0.08193347669745477
A1_D1,strict_non_iid,sgd,0.45541490857946554,0.06261997578842216,0.07279695174974743
A1_D1,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A1_D1,strict_non_iid,fedprox,0.46160337552742614,0.06466119593102593,0.08014142518038025
A1_D2,iid,sgd,0.4571026722925457,0.06330496282382303,0.07875185080730451
A1_D2,iid,adamw,0.9308016877637131,0.011482636231348375,0.03727896415112572
A1_D2,iid,fedprox,0.4579465541490858,0.06565054531014047,0.08127100519401165
A1_D2,dirichlet_0_5,sgd,0.4548523206751055,0.06702738986274148,0.07874009964981554
A1_D2,dirichlet_0_5,adamw,0.9127988748241913,0.014001354859010884,0.028962540664154345
A1_D2,dirichlet_0_5,fedprox,0.4531645569620253,0.0642874417211381,0.08080389668382337
A1_D2,strict_non_iid,sgd,0.4511954992967651,0.0664530175843111,0.08582457872100402
A1_D2,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A1_D2,strict_non_iid,fedprox,0.45935302390998595,0.06236748558229399,0.0728087029072364
A1_D3,iid,sgd,0.4540084388185654,0.06369932847910886,0.07782938494441705
